id,title,description,link,image_link,price,availability
vitale-starter,"Vitale Sourdough Starter","Dehydrated starter that wakes up in 3-5 days with just flour and water. Comes with clear instructions that actually make sense. No babysitting, no stress.","https://vitalesourdoughco.etsy.com?utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/vitale-sourdough-starter-new.jpg","12.00 USD",in stock
wire-monkey-lame,"Wire Monkey Bread Lame","Sharp, curved blade glides through dough like butter. Leaves clean cuts that open into tall, dramatic ears. Feels balanced in your hand.","https://wiremonkey.com/?ref=BAKINGGREATBREAD&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/wire-monkey-lame-sharp.jpg","26.00 USD",in stock
sourhouse-goldie,"Sourhouse Goldie Starter Warmer","Keeps your starter at perfect temp, 24/7. Just plug it in, set it, and stop worrying about cold kitchens or inconsistent fermentation.","https://sourhouse.co?ref=BAKINGGREATBREAD","https://bakinggreatbread.blog/holiday/sourhouse-goldie-starter-warmer.webp","89.00 USD",in stock
holland-bowl-17,"Holland Bowl Mill 17 Inch Beechwood Bowl","Hand-turned in Michigan from single pieces of wood. Smooth grain that won't snag dough. Deep enough for mixing, wide enough for folding.","https://hollandbowlmill.com/baking/?wpam_id=10&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/holland-bowl-mill.jpg","135.00 USD",in stock
brod-taylor-proofer,"Brod and Taylor Folding Proofer","Set the exact temperature you want, walk away, and come back to perfectly proofed dough. No more guessing if your kitchen is warm enough. Folds flat when done.","https://collabs.shop/38tf48","https://bakinggreatbread.blog/holiday/brod-taylor-proofer-sharp.jpg","189.00 USD",in stock
sourhouse-doughbed,"Sourhouse DoughBed","Dedicated surface for shaping and resting dough. Natural materials that won't stick. Makes the whole process calmer and more organized.","https://sourhouse.co/?ref=BAKINGGREATBREAD&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/sourhouse-doughbed.jpg","279.95 USD",in stock
challenger-bread-pan,"Challenger Bread Pan","Cast iron bread pan that creates perfect steam for crusty artisan loaves. Professional-grade results at home.","https://challengerbreadware.com/?ref=henrysbreadkitchen","https://bakinggreatbread.blog/holiday/challenger-bread-pan.jpg","270.00 USD",in stock
challenger-parchment,"Challenger Parchment Papers","Pre-cut parchment papers sized perfectly for the Challenger Bread Pan. Non-stick and heat resistant.","https://challengerbreadware.com/?ref=henrysbreadkitchen","https://bakinggreatbread.blog/holiday/challenger-parchment.png","12.95 USD",in stock
bread-blanket,"Sourhouse Bread Blanket","Muslin bread blanket keeps your loaves fresh and allows them to breathe. Beautiful and functional storage solution.","https://sourhouse.co/?ref=BAKINGGREATBREAD","https://bakinggreatbread.blog/holiday/bread-blanket.webp","19.95 USD",in stock
bt-dough-whisk,"Brod and Taylor Dough Whisk","Danish-style dough whisk for mixing wet doughs without the mess. Stainless steel and easy to clean.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/dough-whisk.jpg","20.95 USD",in stock
