"Product Name","Description","Price","Image URL"
"Vitale Sourdough Starter","Dehydrated starter that wakes up in 3-5 days with just flour and water. Comes with clear instructions that actually make sense. No babysitting, no stress.","$12","https://bakinggreatbread.blog/holiday/vitale-sourdough-starter-new.jpg"
"Wire Monkey Bread Lame","Sharp, curved blade glides through dough like butter. Leaves clean cuts that open into tall, dramatic ears. Feels balanced in your hand, like it was made for you.","$26","https://bakinggreatbread.blog/holiday/wire-monkey-lame-sharp.jpg"
"Sourhouse Goldie Starter Warmer","Keeps your starter at perfect temp, 24/7. Just plug it in, set it, and stop worrying about cold kitchens or inconsistent fermentation. Soft silicone wraps around your jar.","$89","https://bakinggreatbread.blog/holiday/sourhouse-goldie-starter-warmer.webp"
"Holland Bowl Mill 17"" Beechwood Bowl","Hand-turned wooden bread mixing bowl from Michigan. Large enough for big batches. The natural wood stays room temp even in cold kitchens.","$135","https://bakinggreatbread.blog/holiday/holland-bowl-mill.jpg"
"Brød & Taylor Folding Proofer","Precision temperature-controlled bread proofer. Folds flat for storage. Set it and forget it, your dough will rise on schedule every single time.","$189","https://bakinggreatbread.blog/holiday/brod-taylor-proofer-sharp.jpg"
"Wire Monkey Goose Lame","Premium bread scoring tool with curved blade for artisan sourdough. Classic design with exceptional balance.","$49.95","https://bakinggreatbread.blog/holiday/goose-lame-new-sharp.jpg"
"Sourhouse DoughBed","Multi-mode dough fermentation and warming station. Perfect temperature control for proofing and resting your dough.","$279.95","https://bakinggreatbread.blog/holiday/sourhouse-doughbed.jpg"
"Brød & Taylor Dough Whisk","Moves through dough without sticking. One-piece construction, no gaps for flour to hide. Way better than a wooden spoon.","$20.95","https://bakinggreatbread.blog/holiday/dough-whisk.jpg"
"Challenger Bread Pan","Cast iron bread pan that creates professional steam for bakery-quality crust. The gold standard for home bakers.","$270","https://bakinggreatbread.blog/holiday/challenger-bread-pan.jpg"
"Sourhouse Bread Blanket","Muslin cloth cover that keeps bread fresh while allowing airflow. Essential for storing fresh loaves.","$19.95","https://bakinggreatbread.blog/holiday/bread-blanket.webp"
"Brød & Taylor Dough Scraper","Stainless steel bench scraper for cutting and moving dough. Essential tool for any serious baker.","$14.95","https://bakinggreatbread.blog/holiday/bench-scraper.png"
"Wood Pulp Banneton (Round)","Round proofing basket made from sustainable wood pulp. Creates beautiful ring patterns on your loaves.","$29","https://bakinggreatbread.blog/holiday/wood-pulp-banneton.webp"
"Wood Pulp Banneton (Oval)","Oval proofing basket for batard-style loaves. Sustainable wood pulp construction.","$32","https://bakinggreatbread.blog/holiday/oval-banneton.png"
"Wire Monkey Round Banneton","Classic round wood pulp proofing basket for boules with beautiful circle patterns.","$32","https://bakinggreatbread.blog/holiday/round-banneton.png"
"Sourhouse Starter Jars (Pint or Quart)","Glass jars with measurement markings and airtight lids. Available in pint or quart sizes. Perfect for maintaining your sourdough starter.","$20.76","https://bakinggreatbread.blog/holiday/starter-jars.webp"
"Brød & Taylor Spice & Coffee Grinder","Compact electric grinder perfect for freshly ground spices, coffee, and grains for your baking.","$24.95","https://bakinggreatbread.blog/holiday/bt-spice-grinder.png"
"UFO Zero Lame","The original circular lame by Wire Monkey. Fine control, ambidextrous design, retractable blade. Walnut construction.","$29.95","https://bakinggreatbread.blog/holiday/wiremonkey-ufo-zero.webp"
"Poco Lame","Smallest straight-blade lame, American black walnut. Simple, safe, and designed for maximum control.","$18.95","https://bakinggreatbread.blog/holiday/wiremonkey-poco.webp"
"Arc Lame","Smallest curved lame in the world. American black walnut with base stand. Ideal for long bread slashes.","$25.95","https://bakinggreatbread.blog/holiday/wiremonkey-arc-lame.webp"
"Toast Tongs","Solid walnut toast tongs made in Ukraine. Safely retrieve toast slices with rare earth magnet for storing.","$14.95","https://bakinggreatbread.blog/holiday/toast-tongs.webp"
"Spherical Flour Duster","Professional flour duster for dusting bannetons and work surfaces with precision and control.","Price varies","https://bakinggreatbread.blog/holiday/spherical-flower-duster.webp"
"Reusable Banneton/Dish Covers","Elastic covers for bowls or bannetons. Made by Wild Clementine Co., washable, snug fit.","$19.99","https://bakinggreatbread.blog/holiday/wiremonkey-banneton-cover.webp"
"Vegan Bread Wrap","Vegan alternative to plastic wrap, reusable for up to one year. Made from organic cotton with plant-based waxes.","$14.99","https://bakinggreatbread.blog/holiday/vegan-bread-wrap.webp"
